"Periodo","GEI-T","GEI-E","GEI-RS","GEI-AR","Valor"
"2010","4167646.7454322","4625604.2684917","2017831.5705692","874885.98400492","11685968.568498"
"2011","4511228.7761634","4915820.4386017","2134886.6419735","818444.1143052","12380379.971044"
"2012","4616163.1955967","4428343.0590251","2243683.276522","761772.82919325","12049962.360337"
"2013","4776341.3281729","5081488.6573588","2300965.8857054","702612.12900316","12861408.00024"
"2014","4878149.4098571","5088770.8283462","2381826.1275697","655573.81492665","13004320.1807"
"2015","4930965.0884636","5041754.6242554","2430604.1372124","704074.6795297","13107398.529461"
"2016","4941999.1079567","4820533.2574704","1993787.5517266","417296.46629598","12173616.38345"
"2017","4922837.1395366","3901678.9546353","1829759.4555991","417490.21544464","11071765.765216"
"2018","4973121.0206841","4046697.6084088","2086438.2958308","414648.44730769","11520905.372231"
