"Periodo","Valor"
"2006-12","51.900001525879"
"2007-01","66.5"
"2007-02","100.5"
"2007-03","91.900001525879"
"2007-04","66.400001525879"
"2007-05","73.599998474121"
"2007-06","58"
"2007-07","61.70000076294"
"2007-08","64.5"
"2007-09","59.29999923706"
"2007-10","74.300003051758"
"2007-11","72.400001525879"
"2007-12","69.5"
"2008-01","64.8"
"2008-02","71.9"
"2008-03","73.2"
"2008-04","65"
"2008-05","56.9"
"2008-06","62.4"
"2008-07","50.1"
"2008-08","56.7"
"2008-09","61"
"2008-10","68.9"
"2008-11","64.5"
"2008-12","63.3"
"2009-01","68.5"
"2009-02","67.7"
"2009-03","71.4"
"2009-04","64.6"
"2009-05","64.7"
"2009-06","55.9"
"2009-07","51.9"
"2009-08","46.5"
"2009-09","51.8"
"2009-10","64.4"
"2009-11","59.7"
"2009-12","46.6"
"2010-01","63.1"
"2010-02","70.3"
"2010-03","63.6"
"2010-04","58.8"
"2010-05","50"
"2010-06","44.8"
"2010-07","52.5"
"2010-08","56"
"2010-09","66.9"
"2010-10","57.2"
"2010-11","60.3"
"2010-12","64.1"
"2011-01","60.29999923706"
"2011-02","61.5"
"2011-03","51.79999923706"
"2011-04","51.900001525879"
"2011-05","51"
"2011-06","45.900001525879"
"2011-07","39.900001525879"
"2011-08","47.099998474121"
"2011-09","46.900001525879"
"2011-10","51.8"
"2011-11","58.2"
"2011-12","53.3"
"2012-01","52.7"
"2012-02","63.5"
"2012-03","52.2"
"2012-04","51.9"
"2012-05","44.3"
"2012-06","37.9"
"2012-07","31.6"
"2012-08","32"
"2012-09","43.8"
"2012-10","53.8"
"2012-11","61.3"
"2012-12","52.1"
"2013-01","55.2"
"2013-02","55.9"
"2013-03","57.3"
"2013-04","58.4"
"2013-05","47.6"
"2013-06","39"
"2013-07","38.6"
"2013-08","44"
"2013-09","44.4"
"2013-10","49"
"2013-11","53.8"
"2013-12","49.3"
"2014-01","49.6"
"2014-02","65.9"
"2014-03","63.9"
"2014-04","46"
"2014-05","54"
"2014-06","46"
"2014-07","37"
"2014-08","47"
"2014-09","44"
"2014-10","51"
"2014-11","55"
"2014-12","57"
"2015-01","47"
"2015-02","58"
"2015-03","59"
"2015-04","43"
"2015-05","43"
"2015-06","30"
"2015-07","33"
"2015-08","34"
"2015-09","42"
"2015-10","46"
"2015-11","47"
"2015-12","38"
"2016-01","68"
"2016-02","54"
"2016-03","58"
"2016-04","49"
"2016-05","35"
"2016-06","34"
"2016-07","28"
"2016-08","34"
"2016-09","38"
"2016-10","44"
"2016-11","46"
"2016-12","50"
"2017-01","41"
"2017-02","52"
"2017-03","46"
"2017-04","43"
"2017-05","39"
"2017-06","39"
"2017-07","27"
"2017-08","37"
"2017-09","39"
"2017-10","40"
"2017-11","52"
"2017-12","47"
"2018-01","42"
"2018-02","55"
"2018-03","50"
"2018-04","43"
"2018-05","33"
"2018-06","30"
"2018-07","30"
"2018-08","31"
"2018-09","38"
"2018-10","40"
"2018-11","44"
"2018-12","39"
"2019-01","37"
"2019-02","49"
"2019-03","49"
"2019-04","39"
"2019-05","34"
"2019-06","22"
"2019-07","25"
"2019-08","27"
"2019-09","32"
"2019-10","36"
"2019-11","37"
"2019-12","38"
"2020-01","36"
"2020-02","46"
"2020-03","53"
"2020-04","27"
"2020-05","19"
"2020-06","28"
"2020-07","23"
"2020-08","26"
"2020-09","30"
"2020-10","33"
"2020-11","38"
"2020-12","38"
"2021-01","36"
"2021-02","36"
"2021-03","36"
"2021-04","26"
"2021-05","26"
"2021-06","29"
"2021-07","23"
"2021-08","28"
"2021-09","31"
"2021-10","35"
"2021-11","41"
"2021-12","40"
"2022-01","38"
"2022-02","41"
"2022-03","38"
"2022-04","31"
"2022-05","31"
"2022-06","31"
