"Periodo","MOV","CBV","MAM","JAZ","PTE","MOV2","SCR","CSE","USM","SUB","CDAR","BOL","TUN","FTB","USQ","GYR","BOS","COL","KEN","LFR"
"2013-10","","","","30","","16","17","","8","","30","13","","","","","","","",""
"2013-11","30","19","23","12","33","","","","","","","","","","","","","","",""
"2013-12","29","15","17","7","30","12","","","","","","","","","","","","","",""
"2014-01","18","18","10","36","17","","","","","","","","","","","","","","",""
"2014-02","48","29","28","17","41","28","","","","","","","","","","","","","",""
"2014-03","46","35","31","35","23","42","","","","","","","","","","","","","",""
"2014-04","14","29","24","20","23","13","32","20","","","","","","","","","","","",""
"2014-05","14","11","30","22","22","24","14","32","20","","","","","","","","","","",""
"2014-06","13","9","33","14","13","16","9","23","","","","","","","","","","","",""
"2014-07","10","5","31","14","10","12","6","8","","","","","","","","","","","",""
"2014-08","12","6","32","17","13","17","24","","","","","","","","","","","","",""
"2014-09","14","8","18","25","16","","","","","","","","","","","","","","",""
"2014-10","18","8","33","21","27","13","30","","","","","","","","","","","","",""
"2014-11","22","11","23","23","31","15","17","30","","","","","","","","","","","",""
"2014-12","26","13","34","26","24","30","16","18","37","","","","","","","","","","",""
"2015-01","18","10","28","23","20","22","11","16","29","","","","","","","","","","",""
"2015-02","23","13","36","30","25","29","19","34","","","","","","","","","","","",""
"2015-03","25","15","34","33","27","31","20","20","34","26","","","","","","","","","",""
"2015-04","15","8","30","22","16","20","13","27","16","","","","","","","","","","",""
"2015-05","14","9","28","22","15","20","11","13","29","16","","","","","","","","","",""
"2015-06","8","5","25","15","9","13","8","8","19","10","","","","","","","","","",""
"2015-07","9","5","27","15","10","15","9","9","21","12","","","","","","","","","",""
"2015-08","10","5","27","17","12","16","10","9","22","14","","","","","","","","","",""
"2015-09","10","7","34","20","14","19","14","12","28","14","","","","","","","","","",""
"2015-10","14","8","40","22","20","22","15","13","28","17","","","","","","","","","",""
"2015-11","15","10","33","20","25","17","17","28","20","","","","","","","","","","",""
"2015-12","12","8","28","19","14","20","11","13","25","13","","","","","","","","","",""
"2016-01","33","23","39","32","34","39","26","43","31","","","","","","","","","","",""
"2016-02","23","15","38","32","25","29","24","21","24","","","","","","","","","","",""
"2016-03","29","24","37","35","33","36","34","28","36","28","","","","","","","","","",""
"2016-04","21","29","24","22","25","21","15","29","21","","","","","","","","","","",""
"2016-05","11","6","25","14","13","17","10","10","25","11","","","","","","","","","",""
"2016-06","11","6","27","10","12","9","10","22","8","","","","","","","","","","",""
"2016-07","7","5","21","9","11","11","6","22","8","","","","","","","","","","",""
"2016-08","10","7","25","11","14","9","11","28","","","","","","","","","","","",""
"2016-09","12","7","15","17","11","30","15","","","","","","","","","","","","",""
"2016-10","19","20","10","21","24","16","18","33","18","","","","","","","","","","",""
"2016-11","20","23","11","17","24","30","18","15","33","22","","","","","","","","","",""
"2016-12","21","25","11","22","24","28","16","16","35","21","","","","","","","","","",""
"2017-01","18","17","17","24","9","19","20","23","24","15","26","","","","","","","","",""
"2017-02","22","24","15","29","26","24","30","22","23","34","24","","","","","","","","",""
"2017-03","24","22","16","30","21","28","18","30","21","","","","","","","","","","",""
"2017-04","17","20","12","30","22","23","16","18","27","","","","","","","","","","",""
"2017-05","18","9","27","14","19","11","24","13","","","","","","","","","","","",""
"2017-06","17","17","27","9","14","19","11","24","13","","","","","","","","","","",""
"2017-07","8","10","10","24","7","8","11","11","19","","","","","","","","","","",""
"2017-08","9","14","9","29","16","10","16","9","12","25","12","","","","","","","","",""
"2017-09","12","15","11","29","18","13","15","11","14","25","15","","","","","","","","",""
"2017-10","15","16","13","29","16","13","20","11","13","26","14","","","","","","","","",""
"2017-11","23","20","34","22","19","28","19","16","32","25","","","","","","","","","",""
"2017-12","21","19","30","22","18","23","14","19","30","18","","","","","","","","","",""
"2018-01","18","15","29","18","16","22","13","16","26","","","","","","","","","","",""
"2018-02","24","25","30","26","23","32","24","22","33","","","","","","","","","","",""
"2018-03","23","20","33","26","21","28","21","21","32","24","","","","","","","","","",""
"2018-04","19","19","15","29","18","17","24","14","14","27","18","","","","","","","","",""
"2018-05","14","16","8","27","13","16","9","9","21","14","","","","","","","","","",""
"2018-06","8","11","4","29","12","7","8","17","","","","","","","","","","","",""
"2018-07","11","5","27","10","8","12","6","17","8","","","","","","","","","","",""
"2018-08","9","10","5","30","11","7","6","20","7","","","","","","","","","","",""
"2018-09","14","15","10","27","13","14","19","11","14","22","15","","","","","","","","",""
"2018-10","15","17","13","27","14","15","23","15","16","23","18","","","","","","","","",""
"2018-11","16","20","13","15","14","16","15","25","19","","","","","","","","","","",""
"2018-12","12","18","10","31","16","11","16","11","13","28","13","","","","","","","","",""
"2019-01","14","18","13","29","17","15","16","14","15","14","25","13","","","","","","","",""
"2019-02","21","25","18","49","26","26","25","22","24","23","35","20","","","","","","","",""
"2019-03","25","27","21","52","29","28","28","25","27","25","37","28","","","","","","","",""
"2019-04","18","20","14","38","18","19","20","24","18","15","28","19","","","","","","","",""
"2019-05","13","18","9","34","11","13","15","18","12","10","23","12","","","","","","","",""
"2019-06","7","12","30","8","7","8","13","8","7","16","8","","","","","","","","",""
"2019-07","7","12","5","30","10","8","8","14","9","8","18","8","","","","","","","",""
"2019-08","10","34","15","10","11","16","10","12","20","10","","","","","","","","","",""
"2019-09","11","34","14","12","11","18","12","11","24","8","","","","","","","","","",""
"2019-10","12","","","38","14","14","15","20","10","11","26","1","","","","","","","",""
"2019-11","14","","","33","16","15","17","19","14","13","26","14","","","","","","","",""
"2019-12","13","15","8","34","15","13","15","20","12","14","27","16","","","","","","","",""
"2020-01","13","15","12","30","17","13","15","20","16","15","24","17","","","","","","","",""
"2020-02","17","27","17","39","23","20","21","27","22","21","29","19","","","","","","","",""
"2020-03","29","37","28","44","34","33","32","37","33","30","39","34","","","","","","","",""
"2020-04","13","19","13","20","16","14","13","18","16","14","19","","","","","","","","",""
"2020-05","7","13","","19","9","","9","12","8","8","13","","","","","","","","",""
"2020-06","9","15","7","","9","8","10","14","10","9","15","8","","","","","","","",""
"2020-07","6","13","4","22","8","6","7","","7","7","17","6","","","","","","","",""
"2020-08","8","15","6","26","10","9","10","14","9","9","17","9","","","","","","","",""
"2020-09","9","20","7","","12","11","12","17","10","11","19","10","","","","","","","",""
"2020-10","10","19","11","28","11","11","12","17","8","11","18","9","","","","","","","",""
"2020-11","17","28","17","31","16","18","21","21","13","16","24","14","","","","","","","",""
"2020-12","14","26","13","37","15","14","15","22","8","14","26","14","","","","","","","",""
"2021-01","12","23","11","","15","14","15","19","7","14","22","15","","","","","","","",""
"2021-02","16","26","15","36","17","14","18","20","8","15","24","15","","","","","","","",""
"2021-03","16","27","16","","16","16","20","21","11","17","25","17","","","","","","","",""
"2021-04","10","13","21","9","32","12","11","12","11","12","","11","20","11","","","","","",""
"2021-05","10","13","21","9","32","12","11","12","11","12","","11","20","11","","","","","",""
"2021-06","9","12","21","11","30","11","10","12","13","13","","10","18","10","","","","","",""
"2021-07","7","7","14","","26","7","7","7","","11","","7","11","7","","","","","",""
"2021-08","8","12","","10","30","10","11","12","10","17","","9","19","12","","","","","",""
"2021-09","8","12","18","8","39","11","10","14","10","17","7","11","19","12","","","","","",""
"2021-10","14","17","23","13","42","13","15","14","17","18","13","15","23","16","","","","","",""
"2021-11","17","21","21","18","41","17","18","18","20","20","17","17","24","20","","","","","",""
"2021-12","18","20","21","19","","18","18","19","18","23","14","18","26","19","","","","","",""
"2022-01","20","24","18","19","17","25","20","N/A","20","N/A","17","18","16","23","N/A","17","N/A","13","24","18"
"2022-02","27","29","24","25","23","28","22","N/A","18","22","21","21","21","28","19","20","N/A","16","27","24"
"2022-03","22","23","19","20","20","27","19","N/A","18","20","17","19","20","25","18","18","N/A","14","26","20"
"2022-04","18","19","17","16","17","22","16","N/A","14","17","15","17","18","22","15","15","N/A","12","21","16"
"2022-05","16","15","13","12","13","18","10","34","8","13","11","13","17","14","8","12","N/A","8","17","11"
"2022-06","12","18","12","14","14","20","11","34","11","12","14","14","19","16","11","12","N/A","9","18","13"
