Año;Mes;IRCA
2012;ENERO;0,40
2012;FEBRERO;0,40
2012;MARZO;0,40
2012;ABRIL;0,14
2012;MAYO;0,14
2012;JUNIO;0,14
2012;JULIO;0,38
2012;AGOSTO;0,11
2012;SEPTIEMBRE;0,50
2012;OCTUBRE;0,33
2012;NOVIEMBRE;0,50
2012;DICIEMBRE;0,00
2013;ENERO;0,21
2013;FEBRERO;0,10
2013;MARZO;1,21
2013;ABRIL;1,03
2013;MAYO;0,39
2013;JUNIO;0,71
2013;JULIO;0,00
2013;AGOSTO;0,18
2013;SEPTIEMBRE;0,35
2013;OCTUBRE;0,00
2013;NOVIEMBRE;0,10
2013;DICIEMBRE;0,01
2014;ENERO;0,00
2014;FEBRERO;0,31
2014;MARZO;1,64
2014;ABRIL;1,45
2014;MAYO;0,00
2014;JUNIO;0,00
2014;JULIO;0,20
2014;AGOSTO;0,69
2014;SEPTIEMBRE;0,42
2014;OCTUBRE;0,13
2014;NOVIEMBRE;0,74
2014;DICIEMBRE;0,93
2015;ENERO;0,33
2015;FEBRERO;0,24
2015;MARZO;0,12
2015;ABRIL;0,00
2015;MAYO;0,12
2015;JUNIO;0,00
2015;JULIO;0,30
2015;AGOSTO;0,17
2015;SEPTIEMBRE;0,28
2015;OCTUBRE;0,39
2015;NOVIEMBRE;0,41
2015;DICIEMBRE;0,00
2016;ENERO;0,30
2016;FEBRERO;0,00
2016;MARZO;1,10
2016;ABRIL;0,60
2016;MAYO;0,00
2016;JUNIO;0,00
2016;JULIO;0,00
2016;AGOSTO;0,30
2016;SEPTIEMBRE;0,40
2016;OCTUBRE;0,20
2016;NOVIEMBRE;0,30
2016;DICIEMBRE;1,40
2017;ENERO;0,00
2017;FEBRERO;0,81
2017;MARZO;0,73
2017;ABRIL;0,88
2017;MAYO;0,60
2017;JUNIO;0,74
2017;JULIO;0,47
2017;AGOSTO;0,69
2017;SEPTIEMBRE;0,27
2017;OCTUBRE;1,04
2017;NOVIEMBRE;0,55
2017;DICIEMBRE;0,48
2018;ENERO;0,81
2018;FEBRERO;0,24
2018;MARZO;0,83
2018;ABRIL;0,43
2018;MAYO;0,66
2018;JUNIO;1,47
2018;JULIO;0,63
2018;AGOSTO;0,67
2018;SEPTIEMBRE;0,23
2018;OCTUBRE;0,69
2018;NOVIEMBRE;0,87
2018;DICIEMBRE;0,21
2019;ENERO;0,18
2019;FEBRERO;0,10
2019;MARZO;0,47
2019;ABRIL;0,49
2019;MAYO;0,81
2019;JUNIO;0,52
2019;JULIO;0,90
2019;AGOSTO;0,41
2019;SEPTIEMBRE;0,81
2019;OCTUBRE;0,26
2019;NOVIEMBRE;0,37
2019;DICIEMBRE;0,48
2020;ENERO;0,20
2020;FEBRERO;0,61
2020;MARZO;0,48
2020;ABRIL;0,09
2020;MAYO;0,29
2020;JUNIO;0,56
2020;JULIO;0,32
2020;AGOSTO;0,24
2020;SEPTIEMBRE;0,86
2020;OCTUBRE;0,75
2020;NOVIEMBRE;1,49
2020;DICIEMBRE;0,43
2021;ENERO;0,21
2021;FEBRERO;0,57
2021;MARZO;0,55
2021;ABRIL;0,34
2021;MAYO;0,46
2021;JUNIO;0,1
2021;JULIO;1,37
2021;AGOSTO;0,41
2021;SEPTIEMBRE;0,41
2021;OCTUBRE;0,73
2021;NOVIEMBRE;0,28
2021;DICIEMBRE;0,99
